year,psic_section,employed_thousands
2012,A,12092.739
2012,B,249.894
2012,C,3112.387
2012,D,89.46
2012,E,59.449
2012,F,2231.905
2012,G,6863.97
2012,H,2616.872
2012,I,1571.319
2012,J,338.034
2012,K,437.438
2012,L,170.427
2012,M,188.901
2012,N,936.559
2012,O,1957.989
2012,P,1200.022
2012,Q,437.648
2012,R,327.779
2012,S,2148.827
2012,T,566.315
2012,U,2.273
2013,A,11835.388
2013,B,250.287
2013,C,3159.357
2013,D,94.438
2013,E,60.097
2013,F,2372.727
2013,G,7105.49
2013,H,2734.224
2013,I,1606.891
2013,J,344.452
2013,K,448.218
2013,L,172.618
2013,M,193.997
2013,N,1015.754
2013,O,1965.406
2013,P,1225.649
2013,Q,468.85
2013,R,347.255
2013,S,2188.623
2013,T,524.12
2013,U,3.877
2014,A,11801.42
2014,B,239.42
2014,C,3212.177
2014,D,85.984
2014,E,51.211
2014,F,2578.322
2014,G,7248.397
2014,H,2686.234
2014,I,1694.479
2014,J,352.056
2014,K,491.291
2014,L,167.555
2014,M,208.893
2014,N,1085.127
2014,O,1963.939
2014,P,1254.295
2014,Q,480.317
2014,R,348.87
2014,S,2186.685
2014,T,507.711
2014,U,6.871
2015,A,11293.643
2015,B,234.515
2015,C,3208.611
2015,D,83.244
2015,E,51.694
2015,F,2696.814
2015,G,7312.945
2015,H,2781.366
2015,I,1716.296
2015,J,381.0
2015,K,497.561
2015,L,184.103
2015,M,208.472
2015,N,1138.778
2015,O,2096.244
2015,P,1282.198
2015,Q,493.752
2015,R,343.154
2015,S,2489.28
2015,T,243.841
2015,U,3.324
2016,A,11063.697
2016,B,218.777
2016,C,3403.963
2016,D,91.437
2016,E,67.644
2016,F,3377.669
2016,G,8039.247
2016,H,3037.818
2016,I,1777.24
2016,J,366.49
2016,K,513.846
2016,L,193.038
2016,M,212.645
2016,N,1370.776
2016,O,2195.693
2016,P,1303.92
2016,Q,501.709
2016,R,361.285
2016,S,2895.985
2016,T,1.82
2016,U,3.274
2017,A,10260.869
2017,B,203.333
2017,C,3481.326
2017,D,79.867
2017,E,68.669
2017,F,3536.848
2017,G,7899.768
2017,H,3127.364
2017,I,1739.698
2017,J,396.668
2017,K,506.298
2017,L,185.997
2017,M,247.294
2017,N,1474.983
2017,O,2408.207
2017,P,1204.41
2017,Q,484.368
2017,R,325.407
2017,S,2699.55
2017,T,1.464
2017,U,1.608
2018,A,9998.247
2018,B,206.505
2018,C,3625.284
2018,D,87.584
2018,E,61.377
2018,F,3865.472
2018,G,7993.913
2018,H,3220.184
2018,I,1727.44
2018,J,403.495
2018,K,540.444
2018,L,203.706
2018,M,274.629
2018,N,1583.888
2018,O,2559.454
2018,P,1196.64
2018,Q,517.583
2018,R,363.097
2018,S,2723.597
2018,T,0.468
2018,U,3.53
2019,A,9325.192
2019,B,176.568
2019,C,3650.788
2019,D,90.56
2019,E,64.483
2019,F,4123.322
2019,G,8368.491
2019,H,3424.138
2019,I,1932.97
2019,J,433.098
2019,K,585.55
2019,L,236.705
2019,M,309.97
2019,N,1692.36
2019,O,2723.609
2019,P,1266.97
2019,Q,542.813
2019,R,401.74
2019,S,2588.162
2019,T,0.0
2019,U,0.526
2020,A,9753.683
2020,B,184.001
2020,C,3183.696
2020,D,80.939
2020,E,58.109
2020,F,3699.562
2020,G,8081.048
2020,H,2932.288
2020,I,1468.16
2020,J,349.647
2020,K,555.762
2020,L,191.977
2020,M,260.321
2020,N,1608.915
2020,O,2563.318
2020,P,1286.059
2020,Q,542.366
2020,R,230.415
2020,S,2345.681
2020,T,0.0
2020,U,1.898
2021,A,10656.392
2021,B,169.723
2021,C,3453.009
2021,D,75.844
2021,E,74.725
2021,F,4319.159
2021,G,9725.209
2021,H,2938.85
2021,I,1416.059
2021,J,444.645
2021,K,619.718
2021,L,203.982
2021,M,296.346
2021,N,1831.027
2021,O,2729.307
2021,P,1425.691
2021,Q,658.194
2021,R,336.548
2021,S,2612.96
2021,T,0.0
2021,U,0.907
2022,A,10836.305
2022,B,221.809
2022,C,3756.031
2022,D,95.224
2022,E,72.924
2022,F,4381.858
2022,G,10382.466
2022,H,3243.77
2022,I,1817.583
2022,J,483.972
2022,K,645.26
2022,L,238.089
2022,M,343.624
2022,N,2185.194
2022,O,2843.873
2022,P,1467.175
2022,Q,668.593
2022,R,411.246
2022,S,2789.947
2022,T,0.0
2022,U,1.695
2023,A,11154.488
2023,B,213.238
2023,C,3520.056
2023,D,94.465
2023,E,63.271
2023,F,4548.812
2023,G,10137.623
2023,H,3507.909
2023,I,2273.695
2023,J,474.313
2023,K,618.799
2023,L,249.398
2023,M,381.0
2023,N,2371.703
2023,O,2878.564
2023,P,1580.071
2023,Q,691.599
2023,R,457.629
2023,S,2958.287
2023,T,0.0
2023,U,2.846
2024,A,10063.743
2024,B,240.792
2024,C,3664.167
2024,D,86.94
2024,E,84.223
2024,F,4851.166
2024,G,10126.832
2024,H,3763.248
2024,I,2645.148
2024,J,460.447
2024,K,677.151
2024,L,269.369
2024,M,408.338
2024,N,2648.304
2024,O,2967.705
2024,P,1613.934
2024,Q,731.409
2024,R,451.645
2024,S,3085.634
2024,T,0.0
2024,U,1.262
